Name,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,COMMENT,DataType,Unit,Size,Min,Max,Description,Who,Users,Source
FanSpdReqMax,100,,,,,,,,,,,uint8,per,1,0,100,Maximum fan speed request,ivan,,App/FanCtl
FanSpdReqMin,20,,,,,,,,,,,uint8,per,1,0,100,Minimum fan speed request,ivan,,App/FanCtl
FanSpdMapX,0,20,40,60,80,100,,,,,,uint8,per,6,0,100,Fan speed map X axis (temp input),ivan,,App/FanCtl
FanSpdMapY,10,20,40,70,90,100,,,,,,uint8,per,6,0,100,Fan speed map Y axis (cmd output),ivan,,App/FanCtl
PmpSpdMax,3000,,,,,,,,,,,uint16,rpm,1,0,5000,Maximum pump speed,ivan,,App/PmpCtl
PmpSpdMin,500,,,,,,,,,,,uint16,rpm,1,0,5000,Minimum pump speed,ivan,,App/PmpCtl
TempCtlSetPnt,22.5,,,,,,,,,,,single,degC,1,-10,50,Cabin temperature set point,ivan,,App/ClimCtl
TempCtlHyst,1.0,,,,,,,,,,,single,degC,1,0,5,Temperature control hysteresis,ivan,,App/ClimCtl
TempCtlPID_P,0.8,,,,,,,,,,,single,,1,0,,PID proportional gain,ivan,,App/ClimCtl
TempCtlPID_I,0.05,,,,,,,,,,,single,,1,0,,PID integral gain,ivan,,App/ClimCtl
FaultTout,5,,,,,,,,,,,uint8,sec,1,1,60,Fault detection timeout,ivan,,App/FltMng
FaultRecovTout,30,,,,,,,,,,,uint8,sec,1,5,120,Fault recovery timeout,ivan,,App/FltMng
